영웅,이름,코스트,타입,희귀도,최대강화,효과_0강,효과_1강,효과_2강
cleopatra,독의 향연,1,ATTACK,UNCOMMON,1,피해 100 + 독 30 데미지,피해 110 + 독 40 데미지,
cleopatra,파라오의 저주,1,SKILL,UNCOMMON,1,약화 2 + 독 20 데미지,약화 3 + 독 30 데미지,
cleopatra,나일의 흐름,0,SKILL,UNCOMMON,1,에너지 +1 + 드로우 1,에너지 +2 + 드로우 2,
cleopatra,뱀의 독무,2,ATTACK,UNCOMMON,1,독 60 데미지,독 70 데미지,
cleopatra,매혹의 언어,1,SKILL,UNCOMMON,1,매혹 1 + 드로우 1,매혹 2 + 드로우 2,
cleopatra,사막의 약법,1,SKILL,UNCOMMON,1,취약 2 + 드로우 1,취약 3 + 드로우 2,
cleopatra,독의 심판,2,ATTACK,UNCOMMON,1,140/70(has_poison_5),154/77(has_poison_5),
cleopatra,이시스의 분노,2,ATTACK,RARE,1,피해 130 + 약화 2 + 취약 2,피해 145 + 약화 3 + 취약 3,
cleopatra,독살의 의식,1,SKILL,RARE,1,독 40 데미지 + 독 즉발,독 50 데미지 + 독 즉발,
cleopatra,여왕의 포옹,2,SKILL,RARE,1,매혹 2 + 드로우 2,매혹 3 + 드로우 3,
cleopatra,저주의 낙인,1,SKILL,RARE,1,약화 3 + 취약 3 + 독 20 데미지,약화 4 + 취약 4 + 독 30 데미지,
cleopatra,나일의 파멸,2,ATTACK,RARE,1,200/100(has_poison_10),224/112(has_poison_10),
cleopatra,매혹의 강습,1,ATTACK,RARE,1,매혹 2 + 피해 100,매혹 3 + 피해 112,
cleopatra,파라오의 분노,3,ATTACK,RARE,1,피해 150 (전체) + 약화 2,피해 168 (전체) + 약화 3,
cleopatra,저주의 교차로,2,SKILL,RARE,1,약화 2 + 취약 2 + 독 30 데미지,약화 3 + 취약 3 + 독 40 데미지,
cleopatra,독의 왕좌,2,POWER,LEGENDARY,2,poison_per_turn 1,poison_per_turn 2,poison_per_turn 3
cleopatra,이시스의 심판,2,ATTACK,LEGENDARY,2,180/0(has_debuffs_3),205/0(has_debuffs_3),230/0(has_debuffs_3)
cleopatra,세케메트의 저주,3,SKILL,DIVINE,2,약화 3 + 취약 3 + 독 40 데미지,약화 4 + 취약 4 + 독 50 데미지,약화 5 + 취약 5 + 독 60 데미지
yi_sun_sin,거북선 돌격,2,ATTACK,UNCOMMON,1,피해 120 + 방어도×60%,피해 132 + 방어도×66%,
yi_sun_sin,반격,1,ATTACK,UNCOMMON,1,방어도×100%,방어도×110%,
yi_sun_sin,철갑,2,SKILL,RARE,1,방어 150,방어 168,
yi_sun_sin,거북선 방패,1,SKILL,COMMON,0,방어 80,,
yi_sun_sin,학익진,2,SKILL,RARE,1,전체 방어 80,전체 방어 89,
yi_sun_sin,진형 강화,1,SKILL,UNCOMMON,1,영웅수×40 방어,영웅수×44 방어,
yi_sun_sin,수군 훈련,1,SKILL,UNCOMMON,1,방어 50 + 드로우 1,방어 55 + 드로우 2,
yi_sun_sin,한산대첩,3,ATTACK,LEGENDARY,2,피해 100 (전체) + 전체 방어 80,피해 114 (전체) + 전체 방어 91,피해 128 (전체) + 전체 방어 102
yi_sun_sin,엄정한 훈련,1,SKILL,RARE,1,드로우 2 + 방어 40,드로우 3 + 방어 44,
yi_sun_sin,배수진,1,SKILL,RARE,1,회복 -80 + 방어 180,회복 -89 + 방어 201,
yi_sun_sin,필사즉생,1,ATTACK,LEGENDARY,2,200/100(low_hp),228/114(low_hp),256/128(low_hp)
yi_sun_sin,불굴,2,SKILL,UNCOMMON,1,전체 회복 100,전체 회복 110,
yi_sun_sin,해군 기동,0,SKILL,COMMON,0,방어 30,,
yi_sun_sin,노량 해전,3,ATTACK,DIVINE,2,피해 250,피해 290,피해 330
yi_sun_sin,학익진 완성,2,SKILL,DIVINE,2,전체 방어 100 + 강화 1,전체 방어 115 + 강화 2,전체 방어 132 + 강화 3
yi_sun_sin,장갑 강화,1,SKILL,COMMON,0,방어 80,,
yi_sun_sin,연속 방어,1,SKILL,UNCOMMON,1,방어 60 + 다음 비용 -1,방어 66 + 다음 비용 -2,
yi_sun_sin,철벽,2,SKILL,RARE,1,방어 130,방어 145,
yi_sun_sin,돌격 태세,1,ATTACK,RARE,1,피해 100 + 방어도×50%,피해 112 + 방어도×56%,
yi_sun_sin,함포 사격,2,ATTACK,UNCOMMON,1,피해 110 + 방어도×40%,피해 121 + 방어도×44%,
yi_sun_sin,방패막이,0,SKILL,COMMON,0,방어 30,,
yi_sun_sin,반격 태세,1,POWER,RARE,1,방어도×20%,방어도×22%,
yi_sun_sin,함대 결집,2,SKILL,RARE,1,방어 120 + 방어도×80%,방어 134 + 방어도×89%,
yi_sun_sin,사기 고취,1,SKILL,UNCOMMON,1,전체 방어 50 + 사기 +1,전체 방어 55 + 사기 +2,
yi_sun_sin,군기 진작,1,SKILL,COMMON,0,영웅수×30 방어,,
yi_sun_sin,진형 사수,2,SKILL,RARE,1,전체 방어 90 + 드로우 1,전체 방어 100 + 드로우 2,
yi_sun_sin,전열 정비,1,SKILL,UNCOMMON,1,전체 회복 60 + 사기 +1,전체 회복 66 + 사기 +2,
yi_sun_sin,함대 지휘,1,SKILL,RARE,1,영웅수×50 방어 + 드로우 1,영웅수×56 방어 + 드로우 2,
yi_sun_sin,일제 사격,2,ATTACK,RARE,1,피해 80 (전체) + 전체 방어 60,피해 89 (전체) + 전체 방어 67,
yi_sun_sin,지휘 본능,2,SKILL,LEGENDARY,2,영웅수×60 방어 + 사기 +2 + 드로우 1,영웅수×68 방어 + 사기 +3 + 드로우 2,영웅수×76 방어 + 사기 +4 + 드로우 3
yi_sun_sin,진형 결속,0,SKILL,COMMON,0,영웅수×20 방어,,
yi_sun_sin,사지결단,1,ATTACK,RARE,1,150/80(low_hp),168/89(low_hp),
yi_sun_sin,이판사판,1,ATTACK,UNCOMMON,1,회복 -60 + 피해 130,회복 -66 + 피해 143,
yi_sun_sin,기사회생,1,SKILL,COMMON,0,회복 100,,
yi_sun_sin,위기 돌파,2,ATTACK,RARE,1,200/120(very_low_hp),224/134(very_low_hp),
yi_sun_sin,사즉생 돌격,2,ATTACK,UNCOMMON,1,회복 -50 + 피해 160 + 방어 50,회복 -55 + 피해 176 + 방어 55,
yi_sun_sin,혈전,1,ATTACK,RARE,1,120/70(low_hp) + 방어 40,134/78(low_hp) + 방어 44,
yi_sun_sin,독전,1,SKILL,UNCOMMON,1,회복 -40 + 사기→피해 120,회복 -44 + 사기→피해 132,
yi_sun_sin,전사의 각오,2,POWER,RARE,1,방어 20,방어 22,
yi_sun_sin,불사조,2,SKILL,LEGENDARY,2,회복 150 + 드로우 2,회복 171 + 드로우 3,회복 192 + 드로우 4
