keys,ko,en,fr,it,es,ja,el,zh
"ui.chapter_select.chapter1.desc","그리스, 이집트, 북유럽 신화의 적이 각 Act에 랜덤 배정됩니다.","Enemies from Greek, Egyptian, and Norse mythology are randomly assigned to each Act.","Les ennemis des mythologies grecque, égyptienne et nordique sont assignés aléatoirement à chaque Acte.","I nemici delle mitologie greca, egizia e norrena sono assegnati casualmente a ogni Atto.","Los enemigos de las mitologías griega, egipcia y nórdica se asignan aleatoriamente a cada Acto.","ギリシャ・エジプト・北欧神話の敵が各アクトにランダム配置されます。","Εχθροί από την ελληνική, αιγυπτιακή και σκανδιναβική μυθολογία ανατίθενται τυχαία σε κάθε Πράξη.","希腊、埃及和北欧神话的敌人将随机分配到每个幕次。"
"ui.chapter_select.chapter2.name","챕터 2 — 동아시아 신화","Chapter 2 — East Asian Myths","Chapitre 2 — Mythes d'Asie de l'Est","Capitolo 2 — Miti dell'Asia Orientale","Capítulo 2 — Mitos del Este Asiático","チャプター2 — 東アジア神話","Κεφάλαιο 2 — Μύθοι Ανατολικής Ασίας","第2章 — 东亚神话"
"ui.chapter_select.chapter2.desc","한국, 중국, 일본 신화의 적이 각 Act에 랜덤 배정됩니다.","Enemies from Korean, Chinese, and Japanese mythology are randomly assigned to each Act.","Les ennemis des mythologies coréenne, chinoise et japonaise sont assignés aléatoirement à chaque Acte.","I nemici delle mitologie coreana, cinese e giapponese sono assegnati casualmente a ogni Atto.","Los enemigos de las mitologías coreana, china y japonesa se asignan aleatoriamente a cada Acto.","韓国・中国・日本神話の敵が各アクトにランダム配置されます。","Εχθροί από την κορεατική, κινεζική και ιαπωνική μυθολογία ανατίθενται τυχαία σε κάθε Πράξη.","韩国、中国和日本神话的敌人将随机分配到每个幕次。"
status.weak.name,약화,Weak,Faible,Debole,Débil,弱体化,Αδύναμος,虚弱
status.vulnerable.name,취약,Vulnerable,Vulnérable,Vulnerabile,Vulnerable,脆弱,Ευάλωτος,易伤
status.poison.name,독,Poison,Poison,Veleno,Veneno,毒,Δηλητήριο,毒
status.strength.name,강화,Strength,Force,Forza,Fuerza,強化,Δύναμη,强化
status.charm.name,매혹,Charm,Charme,Fascino,Encanto,魅了,Γοητεία,魅惑
status.taunt.name,도발,Taunt,Provocation,Provocazione,Provocación,挑発,Πρόκληση,嘲讽
status.morale.name,사기,Morale,Moral,Morale,Moral,士気,Ηθικό,士气
ui.hero_select.title_start,시작 영웅 선택,,,,,,,
ui.hero_select.title_recruit,영웅 영입,,,,,,,
ui.hero_select.already_owned,이미 보유,,,,,,,
ui.hero_select.locked,잠김,,,,,,,
ui.map.btn_deck,덱 보기,,,,,,,
ui.map.btn_close,닫기,,,,,,,
ui.map.room_battle,전투,,,,,,,
ui.map.room_elite,정예,,,,,,,
ui.map.room_rest,휴식,,,,,,,
ui.map.room_shop,상점,,,,,,,
ui.map.room_boss,보스,,,,,,,
ui.shop.title,상점,,,,,,,
ui.shop.relic_empty,릴릭 없음,,,,,,,
ui.shop.sec_service,기타 서비스,,,,,,,
ui.shop.btn_exit,나가기,,,,,,,
ui.shop.btn_purchased,구매 완료,,,,,,,
ui.shop.btn_removed,제거 완료,,,,,,,
ui.rest.title,휴식,,,,,,,
ui.rest.btn_heal,회복,,,,,,,
ui.rest.btn_upgrade,카드 강화,,,,,,,
ui.rest.btn_leave,떠나기,,,,,,,
ui.card_pick.title,카드를 선택하세요 (%d/%d),,,,,,,
ui.card_pick.btn_skip,건너뛰기,,,,,,,
ui.card_upgrade.title,카드 강화,,,,,,,
ui.card_upgrade.btn_skip,건너뛰기,,,,,,,
ui.game_over.victory,승리!,,,,,,,
ui.game_over.defeat,패배...,,,,,,,
ui.game_over.btn_main_menu,메인 메뉴,,,,,,,
ui.hero_unlock.message,새 영웅 해금: %s,,,,,,,
enemy.greek.satyr,사티로스,,,,,,,
enemy.greek.harpy,하르피아,,,,,,,
enemy.greek.cyclops,사이클롭스,,,,,,,
enemy.greek.snake,메두사의 뱀,,,,,,,
enemy.greek.cerberus,케르베로스,,,,,,,
enemy.greek.myrmidon,미르미돈 병사,,,,,,,
enemy.greek.minotaur,미노타우로스,,,,,,,
enemy.greek.medusa,메두사,,,,,,,
enemy.greek.gorgon,고르곤,,,,,,,
enemy.greek.scylla,스킬라,,,,,,,
enemy.greek.hydra,히드라,,,,,,,
enemy.greek.charon,카론,,,,,,,
enemy.greek.erinyes,에리니에스,,,,,,,
enemy.greek.hades,하데스,,,,,,,
enemy.greek.ares_hound,아레스의 사냥개,,,,,,,
enemy.greek.poseidon_apostle,포세이돈 사도,,,,,,,
enemy.greek.hephaestus_automaton,헤파이스토스 자동기계,,,,,,,
enemy.greek.kronos,크로노스,,,,,,,
enemy.egyptian.sand_scout,사막 척후병,,,,,,,
enemy.egyptian.desert_scorpion,사막 전갈,,,,,,,
enemy.egyptian.mummy_warrior,미라 전사,,,,,,,
enemy.egyptian.sphinx_cub,스핑크스 새끼,,,,,,,
enemy.egyptian.sand_ifrit,모래 이프리트,,,,,,,
enemy.egyptian.ka_spirit,카 영혼,,,,,,,
enemy.egyptian.jackal_warrior,자칼 전사,,,,,,,
enemy.egyptian.scarab_queen,스카라베 여왕,,,,,,,
enemy.egyptian.obelisk_guardian,오벨리스크 수호자,,,,,,,
enemy.egyptian.sekhmet,세크메트,,,,,,,
enemy.egyptian.apep_snake,아펩 뱀,,,,,,,
enemy.egyptian.seth_hound,세트의 사냥개,,,,,,,
enemy.egyptian.ba_bird,바 새,,,,,,,
enemy.egyptian.osiris,오시리스,,,,,,,
enemy.egyptian.apophis_serpent,아포피스의 뱀,,,,,,,
enemy.egyptian.set_tempest,세트의 폭풍,,,,,,,
enemy.egyptian.isis_phantom,이시스의 환영,,,,,,,
enemy.egyptian.ra_horakhty,라-호라크티,,,,,,,
enemy.norse.draugr,드라우그르,,,,,,,
enemy.norse.urdr_spider,우르드의 거미,,,,,,,
enemy.norse.jotun_soldier,요툰 병사,,,,,,,
enemy.norse.volva_witch,볼바 마녀,,,,,,,
enemy.norse.hrimfaxi_rider,흐림팍시 기수,,,,,,,
enemy.norse.garlarr_snake,갸르라르 뱀,,,,,,,
enemy.norse.nidhogg_larva,니드호그 유충,,,,,,,
enemy.norse.skoll,스콜 늑대,,,,,,,
enemy.norse.hrimthurs_scout,서리 거인 척후,,,,,,,
enemy.norse.fjorgynn,피요르기닌,,,,,,,
enemy.norse.troll_warrior,트롤 전사,,,,,,,
enemy.norse.norn,운명의 여신 노른,,,,,,,
enemy.norse.vanir_elf,바나헤임 엘프,,,,,,,
enemy.norse.surtr,수르트,,,,,,,
enemy.norse.fenrir_cub,펜리르 새끼,,,,,,,
enemy.norse.valkyrie,발키리,,,,,,,
enemy.norse.jormungandr_shard,요르문간드르 분신,,,,,,,
enemy.norse.jormungandr,요르문간드르,,,,,,,
enemy.korean.death_reaper,저승사자,,,,,,,
enemy.korean.cheoyong,처용,,,,,,,
enemy.korean.dokkaebi,도깨비,,,,,,,
enemy.korean.three_legged_crow,삼족오,,,,,,,
enemy.korean.gumiho,구미호,,,,,,,
enemy.korean.bulgasari,불가사리,,,,,,,
enemy.korean.haechi,해치,,,,,,,
enemy.korean.jangseung,장승,,,,,,,
enemy.korean.haemosu,해모수,,,,,,,
enemy.korean.dangun,단군,,,,,,,
enemy.korean.dokkaebi_chief,도깨비 대장,,,,,,,
enemy.korean.sea_dragon_general,용왕의 장군,,,,,,,
enemy.korean.dongmyeong,동명성왕,,,,,,,
enemy.korean.samsin_grandma,삼신할미,,,,,,,
enemy.korean.underworld_judge,저승 판관,,,,,,,
enemy.korean.gat_spirit,갓신,,,,,,,
enemy.korean.cheoyong_god,처용신,,,,,,,
enemy.korean.gusamseung_halmang,구삼승할망,,,,,,,
enemy.japanese.oni,오니,,,,,,,
enemy.japanese.tengu,텐구,,,,,,,
enemy.japanese.yuki_onna,유키온나,,,,,,,
enemy.japanese.kappa,갓파,,,,,,,
enemy.japanese.shuten_minion,슈텐도지 졸개,,,,,,,
enemy.japanese.ronin_ghost,로닌 망령,,,,,,,
enemy.japanese.oni_general,오니 장군,,,,,,,
enemy.japanese.yamamba,야마우바,,,,,,,
enemy.japanese.invincible_ronin,로닌 무적,,,,,,,
enemy.japanese.raijin,라이덴,,,,,,,
enemy.japanese.chaos_tengu,혼돈의 텐구,,,,,,,
enemy.japanese.yasha,야샤,,,,,,,
enemy.japanese.nureriyon,누레리온,,,,,,,
enemy.japanese.shuten_doji,슈텐도지,,,,,,,
enemy.japanese.iwato_guardian,아마노이와토 수문장,,,,,,,
enemy.japanese.susanoo_blade,스사노오의 검,,,,,,,
enemy.japanese.blizzard_queen,유키온나의 여왕,,,,,,,
enemy.japanese.yamata_no_orochi,야마타노오로치,,,,,,,
enemy.chinese.yaksha,야차,,,,,,,
enemy.chinese.nezha_soldier,나타 병사,,,,,,,
enemy.chinese.heavenly_king_soldier,사대천왕 병사,,,,,,,
enemy.chinese.shanhaijing_beast,산해경 괴수,,,,,,,
enemy.chinese.immortal_trainee,선인 수련생,,,,,,,
enemy.chinese.azure_dragon_guard,청룡 수호병,,,,,,,
enemy.chinese.golden_horn_king,금각 대왕,,,,,,,
enemy.chinese.silver_horn_king,은각 대왕,,,,,,,
enemy.chinese.black_wind_demon,흑풍괴,,,,,,,
enemy.chinese.chiyou,치우,,,,,,,
enemy.chinese.red_boy,홍해아,,,,,,,
enemy.chinese.nine_dragon_general,구룡 차장,,,,,,,
enemy.chinese.heavenly_hound_brothers,천구 형제,,,,,,,
enemy.chinese.erlang_shen,이랑신,,,,,,,
enemy.chinese.white_tiger_general,백호 신장,,,,,,,
enemy.chinese.vermilion_bird_general,주작 신장,,,,,,,
enemy.chinese.black_tortoise_general,현무 신장,,,,,,,
enemy.chinese.pangu,반고,,,,,,,
event.act1.golden_chest.name,황금 상자,,,,,,,
event.act1.golden_chest.desc,낡은 황금 상자가 놓여 있다.,,,,,,,
event.act1.golden_chest.choice_1,열기,,,,,,,
event.act1.golden_chest.choice_2,무시,,,,,,,
event.act1.wounded_warrior.name,상처 입은 전사,,,,,,,
event.act1.wounded_warrior.desc,부상당한 병사가 치료를 요청한다.,,,,,,,
event.act1.wounded_warrior.choice_1,치료 (골드 -20),,,,,,,
event.act1.wounded_warrior.choice_2,무시,,,,,,,
event.act1.ancient_library.name,고대 도서관,,,,,,,
event.act1.ancient_library.desc,신비로운 지식이 담긴 도서관. 공부하면 지식을 얻지만 기력을 소모한다.,,,,,,,
event.act1.ancient_library.choice_1,공부 (HP -5),,,,,,,
event.act1.ancient_library.choice_2,무시,,,,,,,
event.act1.cursed_altar.name,저주받은 제단,,,,,,,
event.act1.cursed_altar.desc,제단에 무언가를 바치면 강력한 유물을 얻을 수 있다.,,,,,,,
event.act1.cursed_altar.choice_1,카드 바치기 (덱에서 1장 제거),,,,,,,
event.act1.cursed_altar.choice_2,무시,,,,,,,
event.act1.companion_encounter.name,동료 만남,,,,,,,
event.act1.companion_encounter.desc,역사 속 영웅이 합류를 요청한다.,,,,,,,
event.act1.companion_encounter.choice_1,합류시키기,,,,,,,
event.act1.companion_encounter.choice_2,거절,,,,,,,
event.act1.prometheus_fire.name,프로메테우스의 불,,,,,,,
event.act1.prometheus_fire.desc,제우스에게 불을 훔친 티탄이 불씨를 건넨다. 받겠는가?,,,,,,,
event.act1.prometheus_fire.choice_1,불씨를 받는다 (드로우 +1 HP -20),,,,,,,
event.act1.prometheus_fire.choice_2,거절한다,,,,,,,
event.act1.heracles_trial.name,헤라클레스의 시련,,,,,,,
event.act1.heracles_trial.desc,헤라클레스가 힘겨루기를 제안한다. 이기면 황금을 준다.,,,,,,,
event.act1.heracles_trial.choice_1,맞선다 (골드 +60 HP -25),,,,,,,
event.act1.heracles_trial.choice_2,포기한다,,,,,,,
event.act1.circe_magic.name,키르케의 마법,,,,,,,
event.act1.circe_magic.desc,마법사 키르케가 황금을 받고 체력을 회복시켜 주겠다고 한다.,,,,,,,
event.act1.circe_magic.choice_1,마법을 받는다 (HP +25 골드 -50),,,,,,,
event.act1.circe_magic.choice_2,거절한다,,,,,,,
event.act1.hades_contract.name,하데스의 계약,,,,,,,
event.act1.hades_contract.desc,저승의 신 하데스가 강력한 유물을 제시한다. 대신 생명력을 요구한다.,,,,,,,
event.act1.hades_contract.choice_1,계약한다 (렐릭 획득 HP -30),,,,,,,
event.act1.hades_contract.choice_2,거절한다,,,,,,,
event.act1.hermes_gamble.name,헤르메스의 도박,,,,,,,
event.act1.hermes_gamble.desc,교활한 헤르메스가 황금과 덱 경량화 중 하나를 선택하라 한다.,,,,,,,
event.act1.hermes_gamble.choice_1,황금을 받는다 (골드 +50),,,,,,,
event.act1.hermes_gamble.choice_2,덱을 가볍게 한다 (카드 1장 제거),,,,,,,
event.act1.devils_deal.name,악마의 거래,,,,,,,
event.act1.devils_deal.desc,어둠 속 제단에서 목소리가 들린다. 50% 확률로 강력한 렐릭 또는 저주 렐릭을 얻는다.,,,,,,,
event.act1.devils_deal.choice_1,받아들인다,,,,,,,
event.act1.devils_deal.choice_2,거절한다,,,,,,,
event.act2.book_of_the_dead.name,사자의 서,,,,,,,
event.act2.book_of_the_dead.desc,죽은 자에게 주어지는 주문서가 놓여 있다. 지식이 담겨 있지만 읽는 것은 고통스럽다.,,,,,,,
event.act2.book_of_the_dead.choice_1,읽는다 (HP -15),,,,,,,
event.act2.book_of_the_dead.choice_2,무시,,,,,,,
event.act2.anubis_judgment.name,아누비스의 심판,,,,,,,
event.act2.anubis_judgment.desc,아누비스가 저울 위에 심장을 올려놓는다. 깨끗한 심장은 가볍다.,,,,,,,
event.act2.anubis_judgment.choice_1,심장을 바친다 (카드 1장 제거),,,,,,,
event.act2.anubis_judgment.choice_2,도망친다 (HP -10),,,,,,,
event.act2.scarab_beetle.name,스카라베 풍뎅이,,,,,,,
event.act2.scarab_beetle.desc,황금빛 딱정벌레가 굴러가고 있다. 성스러운 것이라 하지만 가치가 있어 보인다.,,,,,,,
event.act2.scarab_beetle.choice_1,잡는다 (골드 +40),,,,,,,
event.act2.scarab_beetle.choice_2,놓아준다,,,,,,,
event.act2.pharaoh_tomb.name,파라오의 무덤,,,,,,,
event.act2.pharaoh_tomb.desc,봉인된 석관이 놓여 있다. 위험한 저주가 걸려 있지만 그 안에는 보물이 있을 것이다.,,,,,,,
event.act2.pharaoh_tomb.choice_1,연다 (HP -35),,,,,,,
event.act2.pharaoh_tomb.choice_2,봉인을 존중한다 (골드 +15),,,,,,,
event.act2.nile_flood.name,나일강의 범람,,,,,,,
event.act2.nile_flood.desc,나일강이 넘쳐흘러 주변을 적신다. 농경신의 축복이라 하지만 여정을 지연시킨다.,,,,,,,
event.act2.nile_flood.choice_1,강물로 씻는다 (HP +30 골드 -40),,,,,,,
event.act2.nile_flood.choice_2,지나친다,,,,,,,
event.act2.thoth_wisdom.name,토트의 지혜,,,,,,,
event.act2.thoth_wisdom.desc,지식의 신 토트가 가르침을 제공한다. 배움은 대가를 요구한다.,,,,,,,
event.act2.thoth_wisdom.choice_1,가르침을 받는다 (골드 -60),,,,,,,
event.act2.thoth_wisdom.choice_2,거절한다,,,,,,,
event.act2.bastet_cats.name,바스테트의 고양이,,,,,,,
event.act2.bastet_cats.desc,성스러운 고양이 무리가 길을 막고 있다. 바스테트의 가호를 받은 존재들이다.,,,,,,,
event.act2.bastet_cats.choice_1,먹이를 준다 (HP +15 골드 -25),,,,,,,
event.act2.bastet_cats.choice_2,쫓아낸다 (HP -8),,,,,,,
event.act2.oasis_merchant.name,오아시스 상인,,,,,,,
event.act2.oasis_merchant.desc,사막 한가운데 오아시스에서 행상인을 만났다. 진귀한 물건을 팔고 있다.,,,,,,,
event.act2.oasis_merchant.choice_1,렐릭 구매 (골드 -100),,,,,,,
event.act2.oasis_merchant.choice_2,약초 구매 (HP +25 골드 -30),,,,,,,
event.act2.oasis_merchant.choice_3,지나간다,,,,,,,
event.act2.mummy_curse.name,미라의 저주,,,,,,,
event.act2.mummy_curse.desc,열린 석관에서 차가운 바람이 불어온다. 위험하지만 안에 무언가 있다.,,,,,,,
event.act2.mummy_curse.choice_1,용기를 낸다 (랜덤 렐릭),,,,,,,
event.act2.mummy_curse.choice_2,도망친다 (HP -20),,,,,,,
event.act2.ra_sunboat.name,라의 태양선,,,,,,,
event.act2.ra_sunboat.desc,태양신 라의 황금 배가 눈앞에 나타난다. 동행을 제안하는 존재가 있다.,,,,,,,
event.act2.ra_sunboat.choice_1,합류한다 (영웅 획득),,,,,,,
event.act2.ra_sunboat.choice_2,거절한다 (골드 +20),,,,,,,
event.act3.odin_ravens.name,오딘의 까마귀,,,,,,,
event.act3.odin_ravens.desc,후긴과 무닌이 어깨에 내려앉아 지혜를 속삭인다.,,,,,,,
event.act3.odin_ravens.choice_1,귀를 기울인다 (HP -12),,,,,,,
event.act3.odin_ravens.choice_2,쫓아낸다,,,,,,,
event.act3.yggdrasil_fruit.name,유그드라실의 열매,,,,,,,
event.act3.yggdrasil_fruit.desc,세계수 가지에서 신성한 열매가 떨어졌다.,,,,,,,
event.act3.yggdrasil_fruit.choice_1,먹는다 (골드 -50),,,,,,,
event.act3.yggdrasil_fruit.choice_2,지나친다,,,,,,,
event.act3.ragnarok_prophecy.name,라그나로크의 예언,,,,,,,
event.act3.ragnarok_prophecy.desc,종말의 징조가 하늘에 새겨진다. 도박이지만 기회다.,,,,,,,
event.act3.ragnarok_prophecy.choice_1,받아들인다,,,,,,,
event.act3.ragnarok_prophecy.choice_2,거부한다 (HP -15),,,,,,,
event.act3.valhalla_invitation.name,발할라 초대장,,,,,,,
event.act3.valhalla_invitation.desc,용감한 전사에게 발할라의 문이 열렸다.,,,,,,,
event.act3.valhalla_invitation.choice_1,합류한다 (영웅 획득),,,,,,,
event.act3.valhalla_invitation.choice_2,거절한다 (골드 +25),,,,,,,
event.act3.mimirs_well.name,미미르의 샘,,,,,,,
event.act3.mimirs_well.desc,지혜의 샘 앞에 섰다. 오딘도 한쪽 눈을 바쳤다.,,,,,,,
event.act3.mimirs_well.choice_1,마신다 (카드 1장 제거),,,,,,,
event.act3.mimirs_well.choice_2,지나친다,,,,,,,
event.act3.dragon_gold.name,드래곤의 금화,,,,,,,
event.act3.dragon_gold.desc,니드호그의 둥지에서 금화가 쏟아져 나온다.,,,,,,,
event.act3.dragon_gold.choice_1,집는다 (HP -10),,,,,,,
event.act3.dragon_gold.choice_2,놔둔다,,,,,,,
event.act3.rune_stone.name,룬 스톤,,,,,,,
event.act3.rune_stone.desc,고대 룬 문자가 새겨진 돌이 빛난다.,,,,,,,
event.act3.rune_stone.choice_1,해독한다 (골드 -120),,,,,,,
event.act3.rune_stone.choice_2,문양을 그린다 (골드 +20),,,,,,,
event.act3.thor_hammer_mark.name,토르의 망치 자국,,,,,,,
event.act3.thor_hammer_mark.desc,묠니르가 남긴 신성한 흔적이다. 배움의 기회.,,,,,,,
event.act3.thor_hammer_mark.choice_1,새긴다 (골드 -40),,,,,,,
event.act3.thor_hammer_mark.choice_2,지나친다,,,,,,,
event.act3.frost_giant_corpse.name,얼음 거인의 시체,,,,,,,
event.act3.frost_giant_corpse.desc,쓰러진 요툰의 유해에서 뭔가 빛난다.,,,,,,,
event.act3.frost_giant_corpse.choice_1,뒤진다 (HP -25),,,,,,,
event.act3.frost_giant_corpse.choice_2,무시한다,,,,,,,
event.act3.freyja_tears.name,프레이야의 눈물,,,,,,,
event.act3.freyja_tears.desc,황금 눈물방울이 땅에 떨어져 있다. 강력한 여신의 슬픔.,,,,,,,
event.act3.freyja_tears.choice_1,집어든다 (HP +25),,,,,,,
event.act3.freyja_tears.choice_2,놔둔다,,,,,,,
event.korean.death_reaper_visit.name,저승사자의 방문,,,,,,,
event.korean.death_reaper_visit.desc,밤길을 걷다 검은 갓을 쓴 저승사자와 마주쳤다.,,,,,,,
event.korean.death_reaper_visit.choice_1,받아들인다 (HP -40),,,,,,,
event.korean.death_reaper_visit.choice_2,거절한다,,,,,,,
event.korean.dokkaebi_hammer.name,도깨비 방망이,,,,,,,
event.korean.dokkaebi_hammer.desc,길가에 낡은 방망이가 떨어져 있다. 잡으면 이상한 기운이 느껴진다.,,,,,,,
event.korean.dokkaebi_hammer.choice_1,금 나와라 뚝딱!,,,,,,,
event.korean.dokkaebi_hammer.choice_2,쌀 나와라 뚝딱!,,,,,,,
event.korean.dokkaebi_hammer.choice_3,가져간다 (도박),,,,,,,
event.korean.gumiho_temptation.name,구미호의 유혹,,,,,,,
event.korean.gumiho_temptation.desc,여우 눈빛의 여인이 앞을 막는다.,,,,,,,
event.korean.gumiho_temptation.choice_1,거래한다 (카드 1장 제거),,,,,,,
event.korean.gumiho_temptation.choice_2,거절한다,,,,,,,
event.korean.shaman_gut.name,무당의 굿판,,,,,,,
event.korean.shaman_gut.desc,붉은 무복의 무당이 굿을 올린다.,,,,,,,
event.korean.shaman_gut.choice_1,굿을 부탁한다 (골드 -50),,,,,,,
event.korean.shaman_gut.choice_2,구경만 한다,,,,,,,
event.korean.samsin_blessing.name,삼신할머니의 축복,,,,,,,
event.korean.samsin_blessing.desc,노파가 따뜻한 빛을 내밀며 말한다.,,,,,,,
event.korean.samsin_blessing.choice_1,감사히 받는다,,,,,,,
event.korean.samsin_blessing.choice_2,괜찮다고 한다,,,,,,,
event.korean.dangun_prophecy.name,단군의 예언,,,,,,,
event.korean.dangun_prophecy.desc,마니산 제단에서 고요한 목소리가 들린다.,,,,,,,
event.korean.dangun_prophecy.choice_1,강인함의 길,,,,,,,
event.korean.dangun_prophecy.choice_2,지혜의 길,,,,,,,
event.korean.mountain_god_bet.name,산신령과의 내기,,,,,,,
event.korean.mountain_god_bet.desc,백발 노인이 바위 위에 앉아 말한다.,,,,,,,
event.korean.mountain_god_bet.choice_1,내기를 수락한다,,,,,,,
event.korean.mountain_god_bet.choice_2,그냥 지나친다,,,,,,,
event.korean.sea_king_test.name,용왕의 시험,,,,,,,
event.korean.sea_king_test.desc,용의 발톱이 물 속에서 드러난다.,,,,,,,
event.korean.sea_king_test.choice_1,시험에 응한다 (HP -30),,,,,,,
event.korean.sea_king_test.choice_2,뇌물을 바친다 (골드 -60),,,,,,,
event.korean.sea_king_test.choice_3,돌아간다,,,,,,,
event.korean.hero_joins.name,동료 영웅의 합류,,,,,,,
event.korean.hero_joins.desc,전장을 헤매던 한 영웅이 당신의 팀을 발견했다.,,,,,,,
event.korean.hero_joins.choice_1,함께 싸우자,,,,,,,
event.korean.hero_joins.choice_2,아직은 아니야,,,,,,,
event.korean.underworld_deal.name,저승의 거래,,,,,,,
event.korean.underworld_deal.desc,어둠 속 흰 도포를 입은 자가 나타난다.,,,,,,,
event.korean.underworld_deal.choice_1,거래한다,,,,,,,
event.korean.underworld_deal.choice_2,거절한다,,,,,,,
event.japanese.ise_shrine_blessing.name,이세 신궁의 축복,,,,,,,
event.japanese.ise_shrine_blessing.desc,신성한 기운이 감도는 신궁에서 아마테라스의 사자가 나타난다.,,,,,,,
event.japanese.ise_shrine_blessing.choice_1,신궁에 제물을 바친다 (골드 -30),,,,,,,
event.japanese.ise_shrine_blessing.choice_2,기도만 드린다,,,,,,,
event.japanese.oni_shogi.name,오니의 장기,,,,,,,
event.japanese.oni_shogi.desc,거대한 오니가 장기판을 내밀며 말한다.,,,,,,,
event.japanese.oni_shogi.choice_1,장기 대결을 받아들인다 (도박),,,,,,,
event.japanese.oni_shogi.choice_2,정중히 거절한다,,,,,,,
event.japanese.yuki_onna_blizzard.name,유키온나의 눈보라,,,,,,,
event.japanese.yuki_onna_blizzard.desc,하얀 여인이 손을 내밀며 속삭인다.,,,,,,,
event.japanese.yuki_onna_blizzard.choice_1,온기를 나눠준다 (HP -20),,,,,,,
event.japanese.yuki_onna_blizzard.choice_2,유물을 건네준다 (HP -35),,,,,,,
event.japanese.yuki_onna_blizzard.choice_3,거절하고 달아난다,,,,,,,
event.japanese.tengu_training.name,텐구의 수련,,,,,,,
event.japanese.tengu_training.desc,산중에서 만난 텐구가 말한다.,,,,,,,
event.japanese.tengu_training.choice_1,수련을 받는다 (카드 1장 제거),,,,,,,
event.japanese.tengu_training.choice_2,거절한다,,,,,,,
event.japanese.shrine_omamori.name,신사의 오마모리,,,,,,,
event.japanese.shrine_omamori.desc,오래된 신사에서 신관이 부적을 꺼낸다.,,,,,,,
event.japanese.shrine_omamori.choice_1,부적을 구입한다 (골드 -50),,,,,,,
event.japanese.shrine_omamori.choice_2,오래된 부적을 집어든다 (도박),,,,,,,
event.japanese.shrine_omamori.choice_3,그냥 지나친다,,,,,,,
event.japanese.tanuki_illusion.name,너구리의 환술,,,,,,,
event.japanese.tanuki_illusion.desc,너구리가 상인으로 변장하여 나타난다.,,,,,,,
event.japanese.tanuki_illusion.choice_1,물건을 구입한다 (도박 골드 -40),,,,,,,
event.japanese.tanuki_illusion.choice_2,정체를 폭로한다,,,,,,,
event.japanese.kappa_river_crossing.name,갓파의 강 건너기,,,,,,,
event.japanese.kappa_river_crossing.desc,강가에서 갓파가 외친다.,,,,,,,
event.japanese.kappa_river_crossing.choice_1,씨름을 받아들인다 (도박),,,,,,,
event.japanese.kappa_river_crossing.choice_2,우회로를 찾는다,,,,,,,
event.japanese.shuten_doji_feast.name,슈텐도지의 주연,,,,,,,
event.japanese.shuten_doji_feast.desc,요괴 두목이 술잔을 건네며 말한다.,,,,,,,
event.japanese.shuten_doji_feast.choice_1,함께 마신다 (HP -30),,,,,,,
event.japanese.shuten_doji_feast.choice_2,술만 챙긴다,,,,,,,
event.japanese.shuten_doji_feast.choice_3,거절한다,,,,,,,
event.japanese.fujisan_spirit.name,후지산의 영기,,,,,,,
event.japanese.fujisan_spirit.desc,산꼭대기에서 신비로운 기운이 흘러내린다.,,,,,,,
event.japanese.fujisan_spirit.choice_1,영기를 흡수한다 (HP -15),,,,,,,
event.japanese.fujisan_spirit.choice_2,그냥 바라본다,,,,,,,
event.japanese.amaterasu_return.name,아마테라스의 귀환,,,,,,,
