keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
status.taunt.desc.locked,"도발: %s 에게 도발당했습니다 — 시전자만 공격할 수 있습니다.","Taunt: provoked by %s — can only attack the provoker.","Provocation : provoqué par %s — ne peut attaquer que le provocateur.","Provocazione: provocato da %s — può attaccare solo il provocatore.","Provocación: provocado por %s — solo puede atacar al provocador.","挑発：%s に挑発された — 挑発者しか攻撃できない。","Πρόκληση: προκλήθηκες από %s — μπορείς να επιτεθείς μόνο στον προκλητή.","嘲讽：被 %s 嘲讽 — 只能攻击嘲讽者。","嘲諷：被 %s 嘲諷 — 只能攻擊嘲諷者。","Провокация: спровоцирован %s — может атаковать только спровоцировавшего.","Provocação: provocado por %s — só pode atacar o provocador.","Prowokacja: sprowokowany przez %s — może atakować tylko prowokatora.","Spott: von %s provoziert — kann nur den Provokateur angreifen."
status.marked_by.desc.on_hero,"마킹됨 — 적의 공격이 치명타 확률 +30%","Marked — enemy attacks gain +30% crit chance","Marqué — les attaques ennemies gagnent +30% de critique","Marchiato — gli attacchi nemici ottengono +30% di critico","Marcado — los ataques enemigos ganan +30% de crítico","マーク — 敵の攻撃にクリティカル+30%","Επισημασμένος — εχθρικές επιθέσεις +30% κρίσιμο","已标记 — 敌人攻击暴击率+30%","已標記 — 敵人攻擊暴擊率+30%","Помечен — атаки врагов получают +30% крит","Marcado — ataques inimigos +30% de crítico","Oznaczony — ataki wrogów +30% krytyka","Markiert — Feindangriffe +30% krit"
status.marked_by.desc.on_enemy,"마킹됨 — 영웅의 공격이 치명타 확률 +30%","Marked — hero attacks gain +30% crit chance","Marqué — les attaques des héros gagnent +30% de critique","Marchiato — gli attacchi degli eroi ottengono +30% di critico","Marcado — los ataques de los héroes ganan +30% de crítico","マーク — 英雄の攻撃にクリティカル+30%","Επισημασμένος — επιθέσεις ηρώων +30% κρίσιμο","已标记 — 英雄攻击暴击率+30%","已標記 — 英雄攻擊暴擊率+30%","Помечен — атаки героев получают +30% крит","Marcado — ataques de heróis +30% de crítico","Oznaczony — ataki bohaterów +30% krytyka","Markiert — Heldenangriffe +30% krit"
status.counter_block.desc,반격 방어: 피해 = 현재 방어도 기반,Counter Block: Damage based on current Block.,Bloc de contre : Dégâts basés sur le Bloc actuel.,Contro Blocco: Danni basati sul Blocco attuale.,Contra Bloqueo: Daño basado en el Bloqueo actual.,反撃防御：ダメージは現在のブロック値に基づく。,Αντεπίθεση Μπλοκ: Ζημιά με βάση το τρέχον Μπλοκ.,反击格挡：伤害基于当前格挡值。,反击格挡：伤害基于当前格挡值。,Контр-блок: урон зависит от тек. Блока.,Contra-bloqueio: dano baseado no Bloqueio atual.,Kontra-blok: obr. zależne od aktualnego Bloku.,Konter-Block: Schaden basiert auf aktuellem Block.
status.charm_resistance.desc,매혹 저항 %d: 매혹 스택 초과 시 반함,Charm Resistance %d: Charmed when charm stacks exceed this.,Résistance au charme %d : Charmé lorsque les piles de charme dépassent cela.,Resistenza al Fascino %d: Affascinato quando gli accumuli di fascino superano questo.,Resistencia al Encanto %d: Encantado cuando las acumulaciones de encanto superan esto.,魅了耐性 %d：魅了スタックがこれを超えると魅了状態になる。,Αντίσταση στη Γοητεία %d: Γοητεύεται όταν οι στοίβες γοητείας υπερβαίνουν αυτό.,魅惑抗性 %d：当魅惑层数超过此值时被魅惑。,魅惑抗性 %d：当魅惑层数超过此值时被魅惑。,Сопр. очарованию %d: очарован при превышении стаков.,Resist. ao Encanto %d: encantado quando pilhas excedem.,Odp. na Urok %d: oczarowany przy przekroczeniu stosów.,Bezauberungs-Res. %d: bezaubert bei Stapel-Überschuss.
status.invuln.desc,결계 %d턴: 받는 피해 무시,Ward %d turns: All damage ignored.,Bouclier %d tours : Tous dégâts ignorés.,Schermo %d turni: Tutti i danni ignorati.,Escudo %d turnos: Todo daño ignorado.,結界 %dT：すべての被ダメージ無効。,Φύλακας %dΣ: Όλη η ζημιά αγνοείται.,结界 %d回合：忽略所有伤害。,結界 %d回合：忽略所有傷害。,Защита %d х.: весь урон игнорируется.,Proteção %d t.: todo dano ignorado.,Bariera %d tur: cały obr. ignorowany.,Schutz %d R.: gesamter Schaden ignoriert.
status.counter_pool.desc,반격 누적 %d: 다음 공격에 가산,Counter Pool %d: Added to next attack.,Contre-attaque %d : Ajouté à la prochaine attaque.,Contrattacco %d: Aggiunto al prossimo attacco.,Contraataque %d: Añadido al próximo ataque.,反撃蓄積 %d：次の攻撃に加算。,Αντεπίθεση %d: Προστίθεται στην επόμενη επίθεση.,反击累积 %d：加到下次攻击。,反擊累積 %d：加到下次攻擊。,Резерв контр-атаки %d: добавляется к атаке.,Reserva de contra-atq %d: somado à próx. atq.,Pula kontry %d: dodane do nast. ataku.,Konter-Pool %d: zum nächsten Angriff addiert.
status.marked_by.desc,표적 마킹 %d: 마킹한 적 공격 시 +50%% 피해,Marked by %d: +50%% damage from marker enemies.,Marqué par %d : +50%% dégâts des ennemis marqueurs.,Marcato da %d: +50%% danni da nemici marcatori.,Marcado por %d: +50%% daño de enemigos marcadores.,標的指定 %d：マーカー敵から+50%%ダメージ。,Σημαδεμένος %d: +50%% ζημιά από σημαδιασμένους.,被标记 %d：被标记敌人造成+50%%伤害。,被標記 %d：被標記敵人造成+50%%傷害。,Помечен %d: +50%% урона от меток.,Marcado por %d: +50%% dano de marcadores.,Oznaczony %d: +50%% obr. od znaczników.,Markiert von %d: +50%% Schaden von Markierern.
status.death_rattle.prefix,단말마:,Deathrattle:,Râle de mort :,Rantolo:,Estertor:,断末魔：,Πεθαμός:,亡语：,亡語：,Предсмертный хрип:,Estertor:,Przedśmiertny chrap:,Todesröcheln:
status.death_rattle.desc,단말마: 사망 시 효과 발동,Deathrattle: triggers on death.,Râle de mort : déclenché à la mort.,Rantolo: si attiva alla morte.,Estertor: se activa al morir.,断末魔：死亡時に効果発動。,Πεθαμός: ενεργοποιείται με τον θάνατο.,亡语：死亡时触发效果。,亡語：死亡時觸發效果。,Предсм. хрип: срабатывает при смерти.,Estertor: ativa ao morrer.,Przedśm. chrap: aktywuje przy śmierci.,Todesröcheln: löst beim Tod aus.
signature.greek.desc,휴브리스 — 한 턴 25+ 피해 받으면 다음 턴 strength +2,Hubris — Take 25+ in one turn → next turn strength +2.,Hybris — 25+ dégâts en un tour → strength +2 prochain tour.,Hybris — 25+ danni in un turno → strength +2 prossimo turno.,Hibris — 25+ daño en un turno → strength +2 próximo turno.,ヒュブリス — 1ターン25+被ダメージで次ターン強化+2。,Ύβρις — 25+ ζημιά σε γύρο → strength +2 επόμενο γύρο.,傲慢 — 单次25+伤害 → 下回合 strength +2。,傲慢 — 單次25+傷害 → 下回合 strength +2。,Гибрис — 25+ урона за ход → след. ход strength +2.,Hubris — 25+ dano em 1 turno → próx. turno strength +2.,Hybris — 25+ obr. w turze → nast. tura strength +2.,Hybris — 25+ Schaden in 1 Runde → nächste Runde strength +2.
signature.norse.desc,라그나로크 — HP 30%% 미만 도달 시 모든 적 strength +1 (전투당 1회),Ragnarok — HP < 30%% → all enemies strength +1 (once per battle).,Ragnarök — PV < 30%% → tous les ennemis strength +1 (1× par combat).,Ragnarök — HP < 30%% → tutti i nemici strength +1 (1× battaglia).,Ragnarök — HP < 30%% → todos los enemigos strength +1 (1× combate).,ラグナロク — HP 30%%未満 → 全敵 strength +1（戦闘1回）。,Ραγκναρόκ — HP < 30%% → όλοι οι εχθροί strength +1 (1× μάχη).,诸神黄昏 — HP 30%%以下 → 全敌 strength +1（每场1次）。,諸神黃昏 — HP 30%%以下 → 全敵 strength +1（每場1次）。,Рагнарёк — HP < 30%% → все враги strength +1 (1× за бой).,Ragnarök — HP < 30%% → todos inimigos strength +1 (1×/combate).,Ragnarök — HP < 30%% → wszyscy wrogowie strength +1 (1×/walka).,Ragnarök — HP < 30%% → alle Feinde strength +1 (1× pro Kampf).
signature.egyptian.desc,저주 누적 — ATTACK 시 영웅에 vulnerable +1 자동,Eternal Curse — On ATTACK: target hero gets vulnerable +1.,Malédiction — En ATTACK : héros cible vulnerable +1.,Maledizione — Su ATTACCO: eroe vulnerable +1.,Maldición — Al ATACAR: héroe vulnerable +1.,永遠の呪い — ATTACK時に対象英雄へ脆弱+1。,Αιώνια Κατάρα — Στην ΕΠΙΘΕΣΗ: ευάλωτος +1.,永恒诅咒 — 攻击时目标英雄易伤+1。,永恆詛咒 — 攻擊時目標英雄易傷+1。,Вечное проклятие — при АТАКЕ: герой vulnerable +1.,Maldição Eterna — em ATAQUE: herói vulnerable +1.,Wieczna Klątwa — przy ATAKU: bohater vulnerable +1.,Ewiger Fluch — bei ANGRIFF: Held vulnerable +1.
signature.buddhist.desc,인과응보 — 사망 시 받은 누적 피해 25%%를 모든 영웅에 반환,Karma — On death: reflect 25%% of total damage taken to all heroes.,Karma — À la mort : 25%% des dégâts reçus reflétés à tous les héros.,Karma — Alla morte: 25%% del danno subito riflesso su tutti gli eroi.,Karma — Al morir: 25%% del daño recibido reflejado a todos los héroes.,因果応報 — 死亡時、受けた累計ダメージの25%%を全英雄に返す。,Κάρμα — Στον θάνατο: αντανακλά 25%% της ζημιάς σε όλους.,因果报应 — 死亡时反弹累计伤害的25%%给所有英雄。,因果報應 — 死亡時反彈累計傷害的25%%給所有英雄。,Карма — при смерти: 25%% накоп. урона возврат всем героям.,Karma — ao morrer: reflete 25%% do dano acumulado a todos.,Karma — przy śmierci: odbij 25%% nagromadz. obr. wszystkim.,Karma — beim Tod: 25%% des erlittenen Schadens an alle reflektieren.
signature.daoist.desc,음양 — 매 턴 공격형(strength +1) ↔ 방어형(block +15) 자동 교대,Yin-Yang — Each turn alternates between offense (strength +1) and defense (block +15).,Yin-Yang — Chaque tour alterne entre offensif (strength +1) et défensif (block +15).,Yin-Yang — Ogni turno alterna tra offesa (strength +1) e difesa (block +15).,Yin-Yang — Cada turno alterna entre ofensiva (strength +1) y defensiva (block +15).,陰陽 — ターン毎に攻撃型（強化+1）と防御型（ブロック+15）を自動交替。,Γιν-Γιανγκ — Κάθε γύρος εναλλάσσεται μεταξύ επίθεσης (strength +1) και άμυνας (block +15).,阴阳 — 每回合交替进攻型（strength +1）与防御型（block +15）。,陰陽 — 每回合交替進攻型（strength +1）與防禦型（block +15）。,Инь-Ян — каждый ход: атака (strength +1) ↔ защита (block +15).,Yin-Yang — cada turno: ataque (strength +1) ↔ defesa (block +15).,Yin-Yang — co turę: atak (strength +1) ↔ obrona (block +15).,Yin-Yang — pro Runde: Angriff (strength +1) ↔ Verteidigung (block +15).
signature.japanese.desc,결계 — 매 5턴마다 자기 block +20,Kekkai — Every 5 turns: self block +20.,Kekkai — Tous les 5 tours : self block +20.,Kekkai — Ogni 5 turni: block +20 a sé stesso.,Kekkai — Cada 5 turnos: block +20 propio.,結界 — 5ターン毎に自身ブロック+20。,Κεκκάι — Κάθε 5 γύρους: αυτο-block +20.,结界 — 每5回合自身格挡+20。,結界 — 每5回合自身格擋+20。,Кеккай — каждые 5 ходов: self block +20.,Kekkai — a cada 5 turnos: block +20 próprio.,Kekkai — co 5 tur: block +20 sobie.,Kekkai — alle 5 Runden: eigener block +20.
status.poison.desc,독: 매 턴 %d 피해. 지속 3턴 중첩 시 갱신,Poison: %d damage every turn. Lasts 3 turns; refreshes on stack.,Poison : %d dégâts chaque tour. Dure 3 tours ; se rafraîchit à l'empilement.,Veleno: %d danni ogni turno. Dura 3 turni; si aggiorna accumulandosi.,Veneno: %d de daño cada turno. Dura 3 turnos; se actualiza al acumularse.,毒：毎ターン %d ダメージ。3ターン継続、重複時に更新。,Δηλητήριο: %d ζημιά κάθε γύρο. Διαρκεί 3 γύρους. ανανεώνεται στη στοίβα.,毒：每回合造成 %d 点伤害。持续3回合，堆叠时刷新。,毒：每回合造成 %d 点伤害。持续3回合，堆叠时刷新。,Яд: %d урона каждый ход. 3 хода. Обновляется при стаке.,Veneno: %d dano por turno. Dura 3 turnos. Renova ao acumular.,Trucizna: %d obr. co turę. 3 tury. Odświeża przy stosie.,Gift: %d Schaden pro Runde. 3 Runden. Erneuert bei Stapeln.
status.poison_dmg.name,독,Poison,Poison,Veleno,Veneno,毒,Δηλητήριο,毒,毒,Яд,Veneno,Trucizna,Gift
status.invuln.name,결계,Ward,Bouclier,Schermo,Escudo,結界,Φύλακας,结界,結界,Защита,Proteção,Bariera,Schutz
status.counter_block.name,반격 방어,Counter Block,Bloc de contre-attaque,Blocco Contrattacco,Bloqueo Contraataque,反撃ブロック,Αντεπιθετικό Μπλοκ,反击格挡,反擊格擋,Контр-блок,Contra-bloqueio,Kontra-blok,Konter-Block
status.counter_pool.name,반격 누적,Counter Pool,Réserve Contre-att.,Riserva Contrattacco,Reserva Contraataque,反撃蓄積,Αντεπίθεση,反击累积,反擊累積,Резерв контр-атаки,Reserva contra-atq,Pula kontry,Konter-Pool
status.charm_resistance.name,매혹 저항,Charm Resistance,Résistance au charme,Resistenza al Fascino,Resistencia al Encanto,魅了耐性,Αντίσταση στη Γοητεία,魅惑抗性,魅惑抗性,Сопр. очарованию,Resist. Encanto,Odp. na Urok,Bezauberungs-Res.
status.marked_by.name,마킹,Marked,Marqué,Marcato,Marcado,マーク,Σημαδεμένος,被标记,被標記,Помечен,Marcado,Oznaczony,Markiert
status.death_rattle.name,사망 발동,Death Rattle,Râle d'agonie,Rantolo di Morte,Estertor de Muerte,断末魔,Επιθανάτιος Ρόγχος,死亡触发,死亡觸發,Предсм. хрип,Estertor,Przedśm. chrap,Todesröcheln
status.speed_bonus.name,신속,Swift,Rapide,Rapido,Veloz,迅速,Ταχύς,迅捷,迅捷,Быстрый,Ágil,Szybki,Schnell
status.speed_bonus.desc,속도 +%d,Speed +%d,Vitesse +%d,Velocità +%d,Velocidad +%d,速度+%d,Ταχύτητα +%d,速度+%d,速度+%d,Скорость +%d,Velocidade +%d,Szybkość +%d,Geschw. +%d
status.speed_penalty.name,둔화,Slowed,Ralenti,Rallentato,Lento,減速,Βραδύς,减速,減速,Замедление,Lento,Spowolnienie,Verlangsamt
status.speed_penalty.desc,속도 -%d,Speed -%d,Vitesse -%d,Velocità -%d,Velocidad -%d,速度-%d,Ταχύτητα -%d,速度-%d,速度-%d,Скорость -%d,Velocidade -%d,Szybkość -%d,Geschw. -%d
status.tokens.name,병사,Soldier,Soldat,Soldato,Soldado,兵士,Στρατιώτης,士兵,士兵,Солдат,Soldado,Żołnierz,Soldat
status.tokens.desc,병사 %d명 — 본인 차례 시작 시 무작위 적 공격,%d Soldiers — each attacks a random enemy at turn start,%d Soldats — chacun attaque un ennemi aléatoire,%d Soldati — ognuno attacca un nemico casuale,%d Soldados — cada uno ataca a un enemigo,兵士 %d 体 — ターン開始時に各々がランダムな敵を攻撃,%d Στρατιώτες — επιτίθενται σε τυχαίους εχθρούς,士兵 %d 个 — 回合开始时各自攻击随机敌人,士兵 %d 個 — 回合開始時各自攻擊隨機敵人,%d солдат — атакуют случайных врагов в начале хода,%d Soldados — atacam inimigos aleatórios no início do turno,%d Żołnierzy — atakuje losowych wrogów na początku tury,%d Soldaten — greifen zufällige Feinde zu Rundenbeginn an
status.stun.name,스턴,Stun,Étourdi,Stordito,Aturdido,スタン,Ζάλη,眩晕,眩暈,Оглушение,Atordoamento,Ogłuszenie,Betäubung
status.stun.desc,행동 불가 — 다음 차례 자동 종료 (잔여 %d턴),Stunned — turn auto-ends (%d turn left),Étourdi — tour terminé automatiquement (%d tour restant),Stordito — turno terminato automaticamente (%d turno rimanente),Aturdido — turno terminado automáticamente (%d turno restante),行動不可 — 次の番自動終了（残り %d ターン）,Ζάλη — γύρος τερματίζεται αυτόματα (%d γύρος),无法行动 — 下回合自动结束（剩余 %d 回合）,無法行動 — 下回合自動結束（剩餘 %d 回合）,Оглушён — ход автозавершен (осталось %d х.),Atordoado — turno auto-encerra (%d turno restante),Ogłuszony — tura auto-kończy (%d tura),Betäubt — Runde endet automatisch (%d Runde)
