mythology,key,hp,pattern_len,damage_types,buff_str,buff_blk,debuff_weak,debuff_vul,debuff_poison,has_all,has_low_hp,has_special,has_prepare,max_atk,pattern_summary
daoist,mountain_spirit,380,4,slash,0,0,0,3,0,Y,Y,N,N,80,D:vulnerable+2->A80/slash->A60/slash->D:vulnerable+1
daoist,nine_tailed_spirit,450,3,curse,0,0,2,0,0,N,N,N,N,105,D:weak+2->A105/curse->A105/curse
daoist,river_spirit,300,3,poison,0,0,0,1,0,N,N,Y,N,70,SP:weak->D:vulnerable+1->A70/poison
daoist,thunder_messenger,320,3,holy_slash,0,0,0,1,0,N,Y,N,N,75,A75/holy_slash->D:vulnerable+1->A75/holy_slash
daoist,wind_sprite,270,3,slash,0,0,0,0,0,N,Y,N,N,60,A60/slash->A60/slash->B:speed_bonus+3
japanese,azuki_washer,270,3,blunt,0,0,0,1,0,N,N,N,N,70,A55/blunt->D:vulnerable+1->A70/blunt
japanese,cursed_scroll,270,3,curse,0,0,0,0,0,N,N,N,N,65,BLK1->A65/curse->A65/curse
japanese,dragon_serpent,440,3,blunt,0,0,0,2,0,N,Y,N,N,100,A100/blunt->D:vulnerable+2->A100/blunt
japanese,foxfire,290,3,fire,0,0,0,1,0,N,Y,N,N,75,A60/fire->D:vulnerable+1->A75/fire
japanese,hannya,680,4,curse,0,0,0,0,0,Y,N,N,N,140,MARK->SUM->A140/curse->A90/curse
japanese,ittan_momen,280,3,slash,0,0,2,0,0,N,Y,N,N,60,D:weak+2->A60/slash->A60/slash
japanese,kappa,380,4,blunt,0,0,2,0,0,N,N,N,N,110,D:weak+1->A70/blunt->D:weak+1->A110/blunt
japanese,koropokkuru,260,2,slash,0,0,0,0,0,N,Y,N,N,65,A50/slash->A65/slash
japanese,oni,420,3,blunt,1,0,0,0,0,N,Y,N,N,110,A90/blunt->B:strength+1->A110/blunt
japanese,gashadokuro,700,3,blunt,0,0,0,0,0,Y,N,N,N,150,MARK->A150/blunt->A120/blunt
japanese,tennyo,350,3,blunt,0,0,0,0,0,N,N,Y,N,75,SP:weak->A75/blunt->A75/blunt
japanese,ronin_ghost,450,3,slash,2,0,0,0,0,N,Y,N,N,130,B:strength+2->A130/slash->A100/slash
japanese,samurai_ghost,430,4,slash,1,0,0,0,0,Y,Y,N,N,100,B:strength+1->A100/slash->A100/slash->A80/slash
japanese,shuten_minion,350,4,blunt,1,0,0,0,0,N,N,N,N,100,A70/blunt->A70/blunt->B:strength+1->A100/blunt
japanese,hone_onna,310,3,ice,0,0,2,1,0,N,Y,N,N,75,D:weak+2->A75/ice->D:vulnerable+1
japanese,tatami_monster,330,3,blunt,0,30,0,0,0,N,Y,N,N,95,B:block+30->A80/blunt->A95/blunt
japanese,tengu,320,4,slash,0,0,1,1,0,N,N,N,N,80,D:weak+1->A80/slash->A70/slash->D:vulnerable+1
japanese,yamabiko,300,3,curse,0,0,1,0,0,N,N,N,N,50,A50/curse->WARD->D:weak+1
japanese,yamabushi_ghost,480,4,slash,0,0,0,0,0,Y,N,N,Y,110,PREP->A110/slash->A110/slash->A80/slash
japanese,yuki_onna,300,3,ice,0,0,2,1,0,Y,N,N,N,70,D:weak+2->A70/ice->D:vulnerable+1
